Numéro de compte:;0000 00000000.00;
IBAN:;CH00 0000 0000 0000 0000 0;
Du:;2025-07-01;
Au:;2026-06-28;
Solde initial:;0.00;
Solde final:;35870.89;
Évaluation en:;CHF;
Nombre de transactions dans cette période:;104;

Date de transaction;Heure de transaction;Date de comptabilisation;Date de valeur;Monnaie;Débit;Crédit;Sous-montant;Solde;No de transaction;Description1;Description2;Description3;Notes de bas de page;
2025-07-01;;2025-07-01;2025-07-01;CHF;-1418.93;;;-1418.93;UBSC0001;LOYER APPARTEMENT GENEVE;Ordre e-banking;Ref UBSC0001;;
2025-07-01;;2025-07-01;2025-07-01;CHF;-368.96;;;-1787.89;UBSC0002;ASSURANCE MALADIE CSS;Ordre e-banking;Ref UBSC0002;;
2025-07-01;;2025-07-01;2025-07-01;CHF;-323.53;;;-2111.42;UBSC0003;CHARGES COPROPRIETE;Ordre e-banking;Ref UBSC0003;;
2025-07-06;;2025-07-06;2025-07-06;CHF;-70.86;;;-2182.28;UBSC0004;SWISSCOM MOBILE;Ordre e-banking;Ref UBSC0004;;
2025-07-10;;2025-07-10;2025-07-10;CHF;-91.78;;;-2274.06;UBSC0005;ELECTRICITE SIG;Ordre e-banking;Ref UBSC0005;;
2025-07-16;;2025-07-16;2025-07-16;CHF;-372.10;;;-2646.16;UBSC0006;ACOMPTE IMPOTS ICC;Ordre e-banking;Ref UBSC0006;;
2025-07-26;;2025-07-26;2025-07-26;CHF;-908.78;;;-3554.94;UBSC0007;VIREMENT COMPTE EPARGNE;Ordre e-banking;Ref UBSC0007;;
2025-07-26;;2025-07-26;2025-07-26;CHF;;323.11;;-3231.83;UBSC0008;NOTES DE FRAIS ANTEIS SA;Virement entrant;Ref UBSC0008;;
2025-07-28;;2025-07-28;2025-07-28;CHF;;7532.66;;4300.83;UBSC0009;ANTEIS SA SALAIRE;Virement entrant;Ref UBSC0009;;
2025-08-01;;2025-08-01;2025-08-01;CHF;-1739.64;;;2561.19;UBSC0010;LOYER APPARTEMENT GENEVE;Ordre e-banking;Ref UBSC0010;;
2025-08-01;;2025-08-01;2025-08-01;CHF;-384.31;;;2176.88;UBSC0011;CHARGES COPROPRIETE;Ordre e-banking;Ref UBSC0011;;
2025-08-02;;2025-08-02;2025-08-02;CHF;-395.35;;;1781.53;UBSC0012;ASSURANCE MALADIE CSS;Ordre e-banking;Ref UBSC0012;;
2025-08-03;;2025-08-03;2025-08-03;CHF;-87.92;;;1693.61;UBSC0013;SWISSCOM MOBILE;Ordre e-banking;Ref UBSC0013;;
2025-08-09;;2025-08-09;2025-08-09;CHF;-88.10;;;1605.51;UBSC0014;ELECTRICITE SIG;Ordre e-banking;Ref UBSC0014;;
2025-08-13;;2025-08-13;2025-08-13;CHF;-351.41;;;1254.10;UBSC0015;ACOMPTE IMPOTS ICC;Ordre e-banking;Ref UBSC0015;;
2025-08-22;;2025-08-22;2025-08-22;CHF;;6263.79;;7517.89;UBSC0016;ANTEIS SA SALAIRE;Virement entrant;Ref UBSC0016;;
2025-08-27;;2025-08-27;2025-08-27;CHF;;370.01;;7887.90;UBSC0017;NOTES DE FRAIS ANTEIS SA;Virement entrant;Ref UBSC0017;;
2025-08-28;;2025-08-28;2025-08-28;CHF;-965.33;;;6922.57;UBSC0018;VIREMENT COMPTE EPARGNE;Ordre e-banking;Ref UBSC0018;;
2025-09-01;;2025-09-01;2025-09-01;CHF;-374.59;;;6547.98;UBSC0019;ASSURANCE MALADIE CSS;Ordre e-banking;Ref UBSC0019;;
2025-09-02;;2025-09-02;2025-09-02;CHF;-1622.95;;;4925.03;UBSC0020;LOYER APPARTEMENT GENEVE;Ordre e-banking;Ref UBSC0020;;
2025-09-04;;2025-09-04;2025-09-04;CHF;-381.92;;;4543.11;UBSC0021;CHARGES COPROPRIETE;Ordre e-banking;Ref UBSC0021;;
2025-09-08;;2025-09-08;2025-09-08;CHF;-111.41;;;4431.70;UBSC0022;ELECTRICITE SIG;Ordre e-banking;Ref UBSC0022;;
2025-09-09;;2025-09-09;2025-09-09;CHF;-79.58;;;4352.12;UBSC0023;SWISSCOM MOBILE;Ordre e-banking;Ref UBSC0023;;
2025-09-13;;2025-09-13;2025-09-13;CHF;-384.51;;;3967.61;UBSC0024;ACOMPTE IMPOTS ICC;Ordre e-banking;Ref UBSC0024;;
2025-09-25;;2025-09-25;2025-09-25;CHF;;369.09;;4336.70;UBSC0025;NOTES DE FRAIS ANTEIS SA;Virement entrant;Ref UBSC0025;;
2025-09-26;;2025-09-26;2025-09-26;CHF;-946.66;;;3390.04;UBSC0026;VIREMENT COMPTE EPARGNE;Ordre e-banking;Ref UBSC0026;;
2025-09-28;;2025-09-28;2025-09-28;CHF;;6257.78;;9647.82;UBSC0027;ANTEIS SA SALAIRE;Virement entrant;Ref UBSC0027;;
2025-10-01;;2025-10-01;2025-10-01;CHF;-1589.26;;;8058.56;UBSC0028;LOYER APPARTEMENT GENEVE;Ordre e-banking;Ref UBSC0028;;
2025-10-01;;2025-10-01;2025-10-01;CHF;-354.84;;;7703.72;UBSC0029;ASSURANCE MALADIE CSS;Ordre e-banking;Ref UBSC0029;;
2025-10-02;;2025-10-02;2025-10-02;CHF;-345.54;;;7358.18;UBSC0030;CHARGES COPROPRIETE;Ordre e-banking;Ref UBSC0030;;
2025-10-07;;2025-10-07;2025-10-07;CHF;-87.04;;;7271.14;UBSC0031;SWISSCOM MOBILE;Ordre e-banking;Ref UBSC0031;;
2025-10-08;;2025-10-08;2025-10-08;CHF;-108.92;;;7162.22;UBSC0032;ELECTRICITE SIG;Ordre e-banking;Ref UBSC0032;;
