Numéro de compte:;0000 00000000.01;
IBAN:;CH00 0000 0000 0000 0000 1;
Du:;2025-07-28;
Au:;2026-06-28;
Solde initial:;0.00;
Solde final:;11725.11;
Évaluation en:;CHF;
Nombre de transactions dans cette période:;12;

Date de transaction;Heure de transaction;Date de comptabilisation;Date de valeur;Monnaie;Débit;Crédit;Sous-montant;Solde;No de transaction;Description1;Description2;Description3;Notes de bas de page;
2025-07-28;;2025-07-28;2025-07-28;CHF;;1107.74;;1107.74;UBSS0001;VIREMENT DEPUIS COMPTE COURANT;Virement entrant;Ref UBSS0001;;
2025-08-24;;2025-08-24;2025-08-24;CHF;;886.83;;1994.57;UBSS0002;VIREMENT DEPUIS COMPTE COURANT;Virement entrant;Ref UBSS0002;;
2025-09-26;;2025-09-26;2025-09-26;CHF;;970.95;;2965.52;UBSS0003;VIREMENT DEPUIS COMPTE COURANT;Virement entrant;Ref UBSS0003;;
2025-10-25;;2025-10-25;2025-10-25;CHF;;924.38;;3889.90;UBSS0004;VIREMENT DEPUIS COMPTE COURANT;Virement entrant;Ref UBSS0004;;
2025-11-26;;2025-11-26;2025-11-26;CHF;;885.75;;4775.65;UBSS0005;VIREMENT DEPUIS COMPTE COURANT;Virement entrant;Ref UBSS0005;;
2025-12-26;;2025-12-26;2025-12-26;CHF;;917.77;;5693.42;UBSS0006;VIREMENT DEPUIS COMPTE COURANT;Virement entrant;Ref UBSS0006;;
2026-01-27;;2026-01-27;2026-01-27;CHF;;1063.15;;6756.57;UBSS0007;VIREMENT DEPUIS COMPTE COURANT;Virement entrant;Ref UBSS0007;;
2026-02-26;;2026-02-26;2026-02-26;CHF;;908.78;;7665.35;UBSS0008;VIREMENT DEPUIS COMPTE COURANT;Virement entrant;Ref UBSS0008;;
2026-03-24;;2026-03-24;2026-03-24;CHF;;1001.39;;8666.74;UBSS0009;VIREMENT DEPUIS COMPTE COURANT;Virement entrant;Ref UBSS0009;;
2026-04-24;;2026-04-24;2026-04-24;CHF;;960.85;;9627.59;UBSS0010;VIREMENT DEPUIS COMPTE COURANT;Virement entrant;Ref UBSS0010;;
2026-05-24;;2026-05-24;2026-05-24;CHF;;1052.27;;10679.86;UBSS0011;VIREMENT DEPUIS COMPTE COURANT;Virement entrant;Ref UBSS0011;;
2026-06-28;;2026-06-28;2026-06-28;CHF;;1045.25;;11725.11;UBSS0012;VIREMENT DEPUIS COMPTE COURANT;Virement entrant;Ref UBSS0012;;
